lat,lon
37.48818,126.93603
37.47825,126.93416
37.48759,126.92212
37.48184,126.91083
37.48041,126.95039
37.48521,126.909
37.47103,126.91123
37.47404,126.91772
37.49022,126.93442
37.4747,126.93641
37.47915,126.94241
37.48183,126.94917
37.47212,126.97705
37.47076,126.93121
37.48231,126.95007
37.49138,126.92802
37.48588,126.94272
37.47518,126.93959
37.48253,126.93497
37.47356,126.96291
37.46331,126.92722
37.48891,126.9381
37.48935,126.93797
37.48929,126.93834
37.48439,126.94847
37.4843,126.94819
37.46091,126.9482
37.45561,126.9454
37.4797,126.9372
37.47983,126.93637
37.4737,126.93266
37.47177,126.97905
37.48472,126.94486
37.49275,126.93509
37.47331,126.92364
37.46673,126.92372
37.46985,126.97788
37.45642,126.94613
37.46925,126.91267
37.48098,126.91649
37.48022,126.91583
37.49183,126.93626
37.49203,126.94027
37.49312,126.94531
37.47473,126.94936
37.4747,126.94825
37.47522,126.95156
37.47536,126.95108
37.47647,126.96963
37.47649,126.97013
37.47462,126.97662
37.4683,126.9452
37.49132,126.94109
37.49027,126.94293
37.49018,126.94333
37.48232,126.91333
37.48252,126.913
37.47312,126.91242
37.46302,126.91519
37.4627,126.91537
37.48189,126.92407
37.46845,126.93656
37.47816,126.93897
37.48191,126.90289
37.47922,126.96239
37.4851,126.93955
37.46196,126.93033
37.4802,126.91414
37.47403,126.91525
37.47574,126.9561
37.46575,126.9173
37.46319,126.93375
37.47782,126.95536
37.47767,126.95582
37.47797,126.95543
37.47774,126.91766
37.45766,126.91856
37.4575,126.92043
37.47589,126.94069
37.476,126.94104
37.47588,126.95359
37.47614,126.95375
37.47697,126.93557
37.48272,126.93563
37.47404,126.96218
37.4725,126.94047
37.47269,126.9407
37.46508,126.92687
37.46503,126.92722
37.47625,126.91948
37.47641,126.91992
37.48646,126.93294
37.47299,126.98022
37.47287,126.98039
37.48438,126.94977
37.48458,126.94954
37.47396,126.96737
37.47778,126.94477
37.47575,126.92575
37.47546,126.92569
37.48995,126.94058
37.4901,126.94045
37.47465,126.96371
37.47483,126.96342
37.47446,126.97655
37.46921,126.96465
37.48861,126.92563
37.48865,126.92592
37.47349,126.96413
37.47447,126.96117
37.48483,126.92071
37.48507,126.92049
37.4696,126.92365
37.48046,126.94913
37.48063,126.94017
37.47662,126.9333
37.47727,126.94938
37.47695,126.94938
37.47984,126.95938
37.47985,126.95984
37.47351,126.91267
37.48997,126.93427
37.48839,126.94296
37.47566,126.91484
37.46667,126.94709
37.45853,126.947
37.45888,126.9473
37.46685,126.94431
37.465,126.93847
37.46455,126.9381
37.46569,126.91719
37.46596,126.91723
37.47739,126.92272
37.47772,126.92216
37.46879,126.91304
37.46663,126.91405
37.46824,126.92645
37.46834,126.92591
37.4691,126.96996
37.46224,126.91879
37.47044,126.95689
37.47629,126.93027
37.48773,126.93013
37.4752,126.96415
37.47427,126.97274
37.48647,126.94336
37.48466,126.94733
37.46178,126.91621
37.47699,126.91698
37.4927,126.92697
37.48947,126.95859
37.48176,126.9564
37.46334,126.93172
37.48923,126.95975
37.48909,126.94862
37.49059,126.94797
37.49196,126.95951
37.46383,126.92572
37.46627,126.93128
37.48593,126.94754
37.46934,126.91813
37.47781,126.9512
37.48053,126.95587
37.48091,126.9406
37.46847,126.93963
37.48553,126.9497
37.49019,126.95788
37.48229,126.90202
37.47088,126.91994
37.47869,126.92729
37.46627,126.93071
37.47642,126.91571
37.47842,126.95439
37.47427,126.96044
37.47364,126.92397
37.46753,126.92283
37.46374,126.91781
37.47311,126.97398
37.4689,126.94208
37.4738,126.91691
37.48987,126.93069
37.49063,126.92631
37.46429,126.93286
37.47627,126.93969
37.47691,126.93552
37.47598,126.93875
37.47658,126.93779
37.4775,126.93282
37.49182,126.94693
37.49222,126.94894
37.483,126.91723
37.48817,126.91911
37.48043,126.92393
37.47641,126.92893
37.48941,126.94103
37.48812,126.94063
37.47241,126.971
37.47242,126.96664
37.46989,126.96663
37.48558,126.95041
37.47661,126.94691
37.48049,126.94465
37.48693,126.95842
37.48193,126.95903
37.47672,126.9664
